Player,Pos,90s,PrgC,PrgP,PrgR,Succ Takeons,Attakcking Third Carries,Long Passes Cmp,xA,Pass Cmp%,Pass PrgDist,TklW,Blocks,Int,Recov
David Brooks,"FW,MF",2.5,5,16,18,1,6,5,0.4,69.8,496,4,2,2,14
John Brooks,DF,8,1,26,0,1,1,50,0.1,81.7,2718,4,12,16,51
Moritz Broschinski,"FW,MF",2.5,1,1,10,2,2,0,0.1,62.5,34,2,1,0,5
Jacob Brown,"MF,FW",6.4,14,8,31,3,10,3,0.3,50.4,279,4,12,4,32
Josh Brownhill,MF,8.7,8,27,15,1,4,19,1,74,976,14,6,11,44
Jacob Bruun Larsen,"FW,MF",2.1,12,4,25,5,4,4,0.1,84.3,133,1,0,1,8
Ante Budimir,FW,9.9,14,12,43,4,9,1,0.7,57,233,6,4,3,18
Hugo Bueno,DF,1.6,7,3,13,1,2,4,0.2,80.7,369,1,2,1,13
Marius Bülter,"DF,MF",5.4,12,14,49,4,7,17,2.1,71.3,1130,3,3,2,31
Facundo Buonanotte,"FW,MF",1.4,0,2,8,1,1,2,0.2,79.1,56,1,3,2,6
Alessandro Buongiorno,DF,8.3,6,18,0,0,4,15,0,82.3,1703,14,7,18,52
Oliver Burke,FW,0.4,2,0,1,1,1,0,0,50,18,0,0,0,2
Reece Burke,DF,6.6,0,24,9,1,2,16,0.2,67.6,1014,7,9,7,19
Dan Burn,DF,10.5,7,32,15,1,3,19,0.3,82.4,3124,9,21,10,49
Rareș-Cătălin Burnete,FW,0.1,0,0,2,0,0,0,0,100,0,0,0,0,0
Mason Burstow,FW,0.1,0,0,1,0,0,0,0,75,1,0,0,0,0
Marnon Busch,DF,1.1,4,7,14,1,3,9,0.1,73.9,456,0,1,2,5
Maxime Busi,"DF,FW",0.3,0,0,0,0,0,1,0,71.4,90,0,2,2,5
Aurélio Buta,DF,7,25,32,48,5,12,12,1.2,75.6,1499,11,7,5,34
Marcin Bułka,GK,12,0,0,0,0,0,73,0,89.8,4869,0,0,0,19
Jamie Bynoe-Gittens,"DF,FW",1.3,9,1,13,5,10,1,0.1,80.4,61,0,0,1,4
Juan Cabal,DF,0.3,2,4,7,1,0,4,0.1,72,160,0,0,0,2
Rémy Cabella,"MF,FW",7.5,26,56,65,12,29,20,2.2,80.6,1378,14,13,2,28
Jovane Cabral,"MF,FW",7.2,22,38,39,19,10,20,0.6,74.7,948,8,3,1,28
Liberato Cacace,DF,7.1,13,37,11,9,9,22,0.2,76.6,2072,8,7,10,50
Anthony Caci,DF,9.8,11,51,27,9,7,60,0.9,68.3,2826,6,13,7,64
Moisés Caicedo,MF,8.9,4,44,8,7,11,41,0.4,91.4,1909,10,10,7,48
Tom Cairney,MF,2.1,2,16,5,3,4,8,0.5,85.8,355,0,4,1,10
Jens Cajuste,MF,2.9,5,10,16,3,4,6,0.1,86.8,396,9,5,1,11
Davide Calabria,DF,8.1,8,38,13,4,10,26,0.7,85.9,2020,9,6,12,34
Riccardo Calafiori,DF,7.4,7,20,2,3,5,24,0.4,90.6,2166,9,13,14,58
Luca Caldirola,DF,10.9,3,21,6,1,3,43,0.1,90.6,3023,5,13,17,26
Duje Ćaleta-Car,DF,4,0,11,1,0,0,10,0.2,90.7,1391,2,6,1,18
Hakan Çalhanoğlu,MF,10.8,16,64,10,4,28,94,2.4,88.8,4184,20,10,6,81
José Callejón,"MF,DF",5.4,7,18,25,1,4,20,0.4,76,827,4,3,1,30
Dominic Calvert-Lewin,FW,6.4,10,9,27,5,3,2,0.2,52,210,1,3,1,15
Lamine Camara,MF,9.7,10,37,32,12,12,57,0.7,73,1721,19,15,10,67
Mahdi Camara,MF,7.1,14,29,37,6,12,8,0.7,81.7,637,11,7,10,28
Mohamed Camara,MF,4.5,5,34,14,2,14,35,0.4,93.1,1436,7,4,6,30
Eduardo Camavinga,"MF,DF",8.3,25,47,16,15,27,35,0.7,89.7,2175,19,14,14,66
Nicolò Cambiaghi,"FW,MF",6.7,24,14,55,3,6,3,0.7,70.9,391,6,5,4,26
Andrea Cambiaso,"FW,DF",5.8,22,12,40,5,12,10,0.7,84.7,785,7,6,2,24
Axel Camblan,FW,0.8,3,1,8,3,3,1,0,93.3,37,1,2,0,2
Sergio Camello,FW,4.9,4,12,31,5,4,5,0.7,79.2,226,1,2,1,15
Emre Can,MF,5.9,10,30,4,3,3,35,0.4,86.1,1784,11,8,5,44
Matteo Cancellieri,"FW,MF",8.1,20,12,50,20,17,6,1.3,54.6,429,13,14,3,32
João Cancelo,DF,9,38,46,55,23,21,37,1.4,81.7,2104,21,11,6,60
Fali Candé,DF,9.4,2,21,2,3,6,58,0.2,76.6,2819,12,20,9,51
Antonio Candreva,"MF,FW",9.1,21,47,66,1,14,26,0.9,71.3,1612,3,2,4,25
Thomas Cannon,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergi Canós,"FW,MF",2.8,10,11,16,1,3,1,0.4,64.9,215,2,2,2,17
Luigi Canotto,FW,0.2,0,0,1,1,0,0,0,66.7,9,0,0,0,1
Étienne Capoue,MF,9,14,41,17,8,14,29,0.3,87.5,1617,9,9,12,51
Gianluca Caprari,"MF,FW",2.8,11,15,12,3,9,15,0.7,79.3,463,1,0,2,11
Elia Caprile,GK,1,0,0,0,0,0,14,0,58.5,542,0,0,0,2
Francesco Caputo,FW,8.1,5,12,46,3,6,5,0.5,72.1,207,0,3,0,12
Maxence Caqueret,MF,10.7,26,93,27,12,19,47,2.8,79.9,3448,19,11,16,85
Andrea Carboni,DF,5.6,4,14,2,0,4,33,0.1,85.5,1847,7,10,3,21
Valentin Carboni,"MF,FW",0.5,4,6,7,3,3,2,0,82.6,139,2,1,0,7
Isaac Carcelen,DF,11,11,28,22,3,13,23,0.3,76.3,1837,11,11,6,49
Irvin Cardona,"MF,DF",0.6,3,2,6,0,2,0,0.1,53.3,70,1,1,0,1
Marc Cardona,FW,3.4,4,4,24,4,2,0,0.1,72.7,66,1,4,1,11
Sergi Cardona,DF,11.3,28,59,57,7,22,27,1.8,78.5,3987,23,16,20,84
Igor Carioca,DF,0.9,4,4,12,4,1,5,0.3,71.2,234,3,0,2,5
Carlos,DF,3.6,15,10,21,5,6,13,0.9,74.2,870,4,3,4,21
Diego Carlos,DF,3.1,0,12,0,1,0,19,0,87.3,1689,4,1,3,16
Carmona,"MF,FW",5,11,7,21,3,8,6,0.3,70.5,385,7,7,4,30
Marco Carnesecchi,GK,4,0,0,0,0,0,32,0,61.8,1480,0,0,0,4
Yannick Carrasco,DF,2.5,9,6,17,5,5,8,0.2,73.9,236,4,2,1,15
Rasmus Carstensen,"DF,FW",8.5,19,30,53,8,14,8,1.8,66.9,1709,11,16,8,44
Dani Carvajal,DF,10.6,14,40,88,6,15,32,2.2,84.9,1662,15,11,10,56
Fabio Carvalho,MF,1.6,7,4,10,2,5,0,0.1,84.4,160,1,6,0,10
William Carvalho,MF,1.7,5,14,5,1,6,11,0.2,84.9,719,3,0,2,17
Nicolò Casale,DF,6,9,26,1,1,6,30,0.1,93.6,2242,2,4,3,35
Casemiro,MF,7.2,8,55,24,3,11,30,0.4,81.7,2056,12,21,5,43
Matty Cash,DF,11.4,27,29,43,5,13,27,1.3,85,1938,15,14,10,55
Josué Casimir,"DF,MF",8.5,17,25,35,8,11,14,1.4,73.9,1417,6,11,5,55
Giuseppe Caso,"FW,MF",2.9,12,12,19,10,11,3,0.1,82.8,232,3,0,0,10
Cristian Cásseres Jr.,MF,9,10,42,17,2,6,38,1,80,1504,16,17,12,57
Timothy Castagne,DF,8.2,18,33,41,7,7,30,0.7,80.6,2221,7,13,13,36
Koen Casteels,GK,8,0,0,0,0,0,99,0,81,5224,1,0,0,12
Valentín Castellanos,FW,4.8,3,12,19,4,6,3,0.3,62.8,260,6,6,1,12
Jean-Charles Castelletto,DF,10,12,32,8,4,8,32,0.1,84.5,2808,5,5,14,59
Samu Castillejo,"MF,FW",3,18,12,31,5,13,6,0.6,75.8,340,5,7,0,18
Jonny Castro,MF,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0
Danilo Cataldi,MF,5.8,4,28,5,4,3,15,0.2,86.5,1319,0,6,9,52
Catena,DF,11.9,5,31,0,3,1,87,0.2,81,4178,6,11,7,65
Maximiliano Caufriez,DF,5.9,7,24,4,3,10,22,0.1,88.9,1535,11,6,6,19
Ivan Cavaleiro,FW,7.6,16,18,67,10,10,8,1.6,73.2,575,5,8,5,27
Dani Ceballos,MF,0.8,5,7,4,1,2,5,0,92.2,249,1,2,0,6
Emil Ceide,"MF,FW",1.1,6,2,9,8,3,0,0,71.9,74,0,3,0,5
Zeki Çelik,"DF,MF",1.1,1,4,3,0,3,4,0,85.4,307,4,0,1,5
Álex Centelles,DF,2.5,5,3,10,1,3,14,0.3,67.7,682,1,2,4,7
Václav Černý,FW,4.3,11,16,31,6,9,7,1.1,65.7,539,2,5,5,22
Michele Cerofolini,GK,1,0,0,0,0,0,4,0,50,254,0,0,0,0
Franco Cervi,"DF,FW",1.6,3,10,11,0,4,6,1,80.6,694,3,5,2,15
Julio César Enciso,MF,0.8,5,0,5,6,3,1,0.6,70.8,67,0,0,0,2
Julian Chabot,DF,10.4,2,24,1,1,4,37,0.1,85.1,3458,17,22,20,67
Fares Chaïbi,"FW,MF",0.6,2,5,12,0,1,3,0.2,70,135,0,0,0,3
Fares Chaïbi,MF,6.1,18,26,49,3,10,12,1.7,64,813,4,15,1,13
Muhammed Cham,"MF,FW",10.4,30,52,61,10,33,33,0.9,80.2,1604,7,6,1,42
Brendan Chardonnet,DF,11,9,31,3,1,6,64,0.4,79.1,2604,8,21,12,61
Pep Chavarría,"MF,DF",0.2,0,3,2,0,1,1,0,83.3,72,0,1,0,1
Walid Cheddira,FW,7.2,8,5,34,5,2,5,0.2,66.4,162,1,2,0,9
Rayan Cherki,"FW,MF",7.1,40,49,85,28,37,41,2,78.9,1603,3,7,1,27
Youssef Chermiti,FW,0.4,0,1,4,0,0,0,0,70,9,0,1,0,2
Lucas Chevalier,GK,12,0,0,0,0,0,67,0,75.4,4738,0,1,0,19
Fabio Chiarodia,"DF,MF",0.3,0,0,0,0,0,1,0,69.2,83,1,1,1,2
Federico Chiesa,FW,8.6,45,27,61,12,27,13,1.4,70.5,861,2,6,3,25
Ben Chilwell,"DF,MF",3.7,12,10,23,4,3,12,1.4,73.6,641,4,1,3,18
Pedro Chirivella,MF,11.9,4,77,11,0,12,67,0.5,87.8,3504,10,11,12,64
Tahith Chong,MF,5.9,9,20,20,2,9,17,0.2,82.1,523,6,7,3,38
Joris Chotard,MF,10.7,4,44,10,1,8,50,1.1,80.3,2539,30,20,16,99
Andreas Christensen,DF,8,8,47,2,1,6,38,0.2,95.5,4302,4,7,6,39
Oliver Christensen,GK,2,0,0,0,0,0,29,0,76.7,1329,0,0,0,3
Ryan Christie,MF,9.7,22,30,37,11,22,29,1,76.4,1104,8,15,10,43
Carney Chukwuemeka,MF,1.4,2,4,9,1,2,4,0.2,87.1,71,1,0,0,4
Samuel Chukwueze,FW,3.2,18,13,32,6,8,6,0.9,78.1,312,2,0,2,12
Víctor Chust,DF,1,1,2,0,0,0,5,0,75.9,253,1,0,1,2
Pathé Ciss,MF,7.7,6,35,16,9,5,31,0.2,81.8,1257,8,11,13,51
Ibrahim Cissoko,"FW,MF",0.3,2,1,5,1,2,1,0,71.4,37,0,0,0,1
Patrick Ciurria,"DF,MF",9.8,31,49,64,7,30,25,1.5,80.6,2201,8,10,6,36
Jordan Clark,"MF,DF",0.2,0,2,0,0,0,0,0,72.7,64,0,1,0,1
Alexis Claude-Maurice,"MF,FW",0.2,0,0,0,1,1,0,0,62.5,7,1,0,0,1
Jonathan Clauss,DF,10.4,32,65,65,9,25,47,2.5,76.6,3463,13,10,17,56
Silvi Clúa,MF,0,0,0,0,0,0,0,0,100,41,0,1,0,0
Nathaniel Clyne,DF,1.5,0,4,3,0,1,3,0,76.4,248,1,1,0,7
Marcus Coco,DF,6.6,7,24,34,6,11,16,0.6,80,1203,10,10,9,34
Saúl Coco,DF,7.4,3,25,0,0,2,19,0,88.3,2698,7,9,6,46
Maxime Colin,DF,6.1,4,22,4,3,4,25,0.2,73.2,1902,6,7,6,32
Nathan Collins,DF,11.1,4,39,6,7,8,50,0.5,84.2,3862,7,12,18,64
Lorenzo Colombo,FW,8.4,12,14,38,9,6,10,0.4,73.8,333,9,6,0,23
Andrea Colpani,"MF,FW",9.9,41,51,76,11,22,31,1.9,75.5,1266,3,0,4,26
Levi Colwill,DF,10.4,11,34,16,4,11,29,0.3,82.3,3089,14,14,12,56
Kingsley Coman,FW,7.6,48,34,105,17,23,12,3.2,80.8,859,5,9,0,28
Eray Cömert,DF,8.3,3,17,0,0,1,57,0.1,90.1,2391,9,11,15,50
Santi Comesaña,MF,3.3,8,19,17,3,8,11,0.4,89.4,668,8,3,5,17
Pietro Comuzzo,"DF,FW",0.1,0,1,0,0,0,0,0,83.3,23,0,0,0,2
Andrea Consigli,GK,10,0,0,0,0,0,91,0,73.9,4607,0,1,0,11
Bambasé Conté,"FW,MF",0,1,1,4,0,0,0,0,80,18,1,0,0,2
Lewis Cook,MF,6.8,3,20,2,5,5,20,0.3,80.3,1385,11,5,19,45
Copete,DF,4.3,1,10,0,0,1,13,0.1,76.9,606,7,3,5,27
Diego Coppola,DF,3.2,0,2,0,0,0,14,0,76.6,664,6,5,4,26
Tommaso Corazza,DF,1.6,7,9,8,0,4,3,0.1,82.7,380,3,2,4,7
Jeppe Corfitzen,FW,0.1,1,0,0,0,1,0,0,66.7,0,0,0,0,0
Jack Cork,MF,0.2,2,1,1,0,1,1,0,56.3,29,0,0,0,2
Maxwel Cornet,MF,0,0,0,0,0,0,0,0,100,11,0,0,0,0
Jesús Corona,"MF,DF",0.2,0,0,4,1,1,0,0,64.3,14,0,0,1,2
Ángel Correa,"FW,MF",3.1,7,16,42,10,3,8,1.2,72.5,350,4,2,1,12
Joaquín Correa,"FW,MF",3.2,5,15,31,4,5,6,0.4,81.7,330,3,2,1,13
Thierry Correia,"DF,MF",10.3,19,40,27,12,15,44,0.6,77,3198,21,8,19,76
Oscar Cortés,"FW,MF",0.1,1,1,3,0,0,0,0,66.7,33,0,0,0,1
Danny da Costa,DF,7.1,15,25,36,5,8,25,0.9,66.5,1803,7,13,12,44
David Pereira da Costa,MF,0.6,1,3,4,1,3,3,0.1,72.5,177,0,0,0,4
Jaume Costa,DF,6.5,9,17,21,3,6,19,0.2,72.2,1614,6,4,7,36
Logan Costa,DF,11.1,7,47,3,1,9,60,0.2,84.6,4410,10,23,5,58
Samu Costa,MF,9.9,9,32,9,5,8,37,0.4,77.9,1835,21,16,16,71
Benoît Costil,GK,1,0,0,0,0,0,8,0,72.4,430,0,0,0,2
Vladimír Coufal,DF,12,32,49,41,2,17,30,1,70.9,3297,22,16,16,55
Lassana Coulibaly,MF,6.6,12,22,16,7,11,8,0.3,80.6,749,11,9,7,40
Mamadou Coulibaly,DF,0,0,0,0,0,0,0,0,33.3,1,0,0,0,0
Philippe Coutinho,"MF,FW",0.3,5,5,2,4,4,0,0,83.3,63,0,0,0,1
Yan Couto,"DF,MF",8.3,45,29,100,9,28,18,1.2,74.6,1142,12,6,3,47
Nicolas Cozza,DF,2.4,5,14,7,2,1,6,0.2,77.4,689,5,2,4,12
Alessio Cragno,GK,2,0,0,0,0,0,15,0,62.1,787,0,0,0,0
Aaron Cresswell,DF,0.9,1,8,1,0,1,6,0.1,88.4,399,0,0,0,4
Bryan Cristante,"MF,DF",12,13,69,23,8,16,51,0.9,82.3,3328,11,11,13,81
Juan Cruz Armada,DF,7.3,8,34,15,0,10,36,0.4,73.7,2229,5,4,4,37
Juan Cruz,"FW,MF",0.9,0,1,3,0,0,0,0,62.5,21,1,0,1,0
Juan Cruz,FW,0.8,2,3,9,4,3,0,0,82.4,46,0,0,0,3
Juan Cuadrado,DF,1.1,10,4,11,0,5,6,0.2,84.3,216,1,3,0,7
Marc Cucurella,DF,5.4,9,18,21,1,6,13,0.2,87.5,1312,13,8,7,31
Jorge Cuenca,DF,6.1,1,24,2,1,2,16,0.1,91.6,2215,6,12,7,23
Josh Cullen,MF,9.3,5,39,9,1,6,22,0.9,85.4,1496,11,12,7,62
Matheus Cunha,FW,10.9,44,29,44,31,33,9,1.4,77.1,735,8,10,6,38
Marvin Cuni,FW,4.4,3,3,32,3,4,3,0.1,67.5,59,2,8,1,14
Eric Curbelo,DF,1,0,4,0,0,0,2,0,96.2,302,1,3,2,10
Tomáš Čvančara,FW,5.6,6,8,20,3,4,1,0.7,69.7,227,2,3,0,12
Danilo D'Ambrosio,DF,5.1,3,16,8,0,1,20,0.3,87.3,1675,11,9,7,26
Finn Dahmen,GK,11,0,2,0,0,0,109,0.2,78.5,6966,0,0,0,26
Mahmoud Dahoud,MF,4.5,3,10,6,1,3,14,0.4,86.8,826,4,3,1,24
Ameen Al-Dakhil,DF,9.5,6,29,2,2,5,41,0.5,85.5,2597,4,6,8,45
Thijs Dallinga,FW,8.7,7,9,55,7,7,6,0.7,64.9,345,5,6,2,19
Diogo Dalot,DF,10.3,21,47,44,10,13,51,1.1,82.3,2216,10,5,9,66
Mikkel Damsgaard,"MF,FW",0.6,0,4,0,0,0,2,0,75,112,0,2,0,6
Flavius Daniliuc,DF,3.3,4,16,1,1,3,9,0.1,82.7,962,6,7,5,24
Danilo,"MF,FW",3.7,4,10,8,3,4,8,0.1,76.6,313,1,3,7,22
Danilo,DF,8,2,41,5,5,2,47,0.4,84.8,2931,8,8,18,46
Arnaut Danjuma,"FW,MF",4.1,13,4,27,6,8,1,0.2,71.9,199,1,3,2,14
Kevin Danso,DF,12,13,50,1,5,11,54,0.3,88.6,4250,7,13,11,89
Dante,DF,12,3,77,1,2,8,67,0.3,90.3,7097,10,17,10,96
Mohammed Daramy,"FW,MF",7,27,33,66,21,18,6,1.7,75.8,658,2,4,4,35
Sergi Darder,MF,7.5,22,33,15,10,22,35,1.7,67.9,1407,15,5,6,40
Achraf Dari,"DF,FW",1.3,0,8,0,0,0,17,0,85.9,564,1,2,5,9
Matteo Darmian,DF,9.2,4,26,11,2,6,31,0.3,85.5,2750,10,13,8,27
Lukas Daschner,"MF,FW",2.4,3,8,15,4,3,2,0.8,60.6,199,0,5,2,15
Josh Dasilva,MF,0.1,0,0,0,0,0,0,0,100,0,0,0,0,1
David Datro Fofana,"FW,MF",6.2,16,10,53,17,13,7,0.3,69.2,276,6,2,0,22
Jonathan David,FW,10.1,18,25,58,8,15,3,0.8,79.4,490,7,5,3,31
Alphonso Davies,DF,9.6,50,54,54,30,36,11,1.6,88.9,2293,6,11,9,82
Ben Davies,DF,2,0,14,5,1,0,9,0,92.5,783,6,7,2,9
Tom Davies,MF,0.7,3,4,1,1,0,1,0,80,145,2,0,2,6
Paweł Dawidowicz,DF,8.8,3,28,3,3,5,53,0.1,82.6,2756,12,7,10,70
Craig Dawson,DF,11.8,1,29,2,2,4,76,0.4,86.4,4206,11,22,6,51
Kevin De Bruyne,MF,0.2,0,1,3,0,0,1,0.2,60,74,0,0,0,2
Charles De Ketelaere,FW,6.3,29,35,54,16,14,7,0.9,72,615,5,8,1,19
Rodrigo De Paul,MF,6.1,16,51,22,9,21,34,1.3,84.4,1679,8,6,1,53
Lorenzo De Silvestri,DF,4.9,7,24,8,0,2,11,0,85,1365,3,6,5,15
Thibault De Smet,DF,7.6,6,28,30,3,8,17,0.2,74.9,1638,13,7,9,34
Koni De Winter,DF,6,4,11,7,3,1,5,0.1,79.6,1099,7,2,8,29
Grégoire Defrel,"FW,MF",2.6,2,6,10,1,3,3,0.7,83.3,138,1,1,1,6
Alessandro Deiola,MF,4,5,21,8,0,2,10,0.2,66.7,575,5,4,1,26
Romain Del Castillo,"FW,MF",10.6,33,56,92,26,32,58,3.8,63.5,2147,8,9,2,49
Thomas Delaine,"DF,MF",9.6,26,26,67,10,24,26,1.4,71.9,1724,7,3,11,38
Sacha Delaye,"FW,MF",0.3,0,0,1,0,2,0,0,75,5,0,1,0,2
Hannes Delcroix,DF,2.7,1,7,0,0,2,11,0,91.9,1031,2,3,6,17
Olivier Deman,"DF,FW",6.4,7,21,26,5,4,25,0.6,76.1,1370,9,16,5,34
Karamoko Dembele,"MF,FW",0.2,0,1,3,0,2,1,0,80,24,0,0,0,0
Ousmane Dembélé,"MF,FW",7.9,80,60,128,32,54,28,2.9,76.8,1841,8,4,4,26
Jessy Deminguet,"MF,FW",5.7,5,15,6,2,7,20,0.2,84.9,748,5,5,4,28
Ermedin Demirović,"MF,FW",10.7,8,19,47,11,5,7,1.8,58,442,6,10,4,48
Sepp van den Berg,DF,9.5,2,28,4,1,1,40,0.1,78.2,2332,11,20,15,57
Leander Dendoncker,"MF,FW",0.1,0,0,1,0,0,0,0,78.6,27,0,2,0,1
Rémy Descamps,GK,5,0,0,0,0,0,55,0,62,2942,0,0,0,4
Mikkel Desler,DF,9.7,13,40,45,8,13,19,0.9,83.8,1759,7,19,7,52
Arthur Desmas,GK,12,0,0,0,0,0,80,0,67.6,4983,0,0,0,9
Mattia Destro,"FW,MF",1.5,2,1,8,1,3,0,0,68,13,0,0,2,2
Federico Di Francesco,"FW,MF",0.2,1,1,3,0,0,1,0,75,43,0,0,0,2
Michele Di Gregorio,GK,11,0,0,0,2,0,98,0,78.4,5682,0,0,1,11
Giovanni Di Lorenzo,DF,12,30,78,97,8,16,45,1.5,82.5,3783,14,9,7,56
Alessandro Di Pardo,"MF,DF",1.9,1,5,10,0,0,4,0,64.2,343,1,3,2,18
Boulaye Dia,"FW,MF",7.5,10,13,37,11,13,12,0.2,83.7,377,2,5,3,22
Moussa Diaby,"FW,MF",10.5,38,34,77,11,13,10,2.3,80.1,565,1,2,2,26
Mouctar Diakhaby,"DF,MF",7.3,7,22,1,2,5,30,0.1,86.6,1590,9,10,4,45
Mamadou Diakhon,"FW,MF",0.6,3,0,2,2,0,0,0,90.9,35,1,0,1,5
Bafodé Diakité,DF,7.9,8,33,9,3,8,25,0.4,91,2692,12,9,9,40
Ibrahim Diakité,DF,1.1,6,7,7,2,2,6,0.1,71.4,329,0,2,2,12
Oumar Diakité,FW,5.1,8,6,25,15,10,1,0.2,74,146,4,4,3,16
Assane Diao,FW,5.7,14,11,44,13,16,6,0.5,78.2,214,7,10,5,23
Mouhamadou Diarra,"MF,FW",6.5,13,20,19,6,10,20,0.8,80.5,576,5,8,6,20
Moussa Diarra,DF,6.8,5,27,4,2,6,14,0.6,79.2,1539,6,14,8,31
Rúben Dias,DF,9.2,17,58,6,0,21,52,0.5,92.6,4263,5,7,10,26
Krépin Diatta,DF,5.4,13,42,37,13,12,19,0.9,80.4,1599,8,6,7,39
Mory Diaw,GK,11,0,0,0,1,0,110,0,72.1,6886,0,0,1,17
Mahamadou Diawara,MF,1.9,9,9,9,1,9,3,0.2,81.3,150,2,1,2,11
Brahim Díaz,"MF,FW",2.1,13,7,22,7,10,5,1.1,76.5,279,3,2,0,11
Luis Díaz,"FW,MF",7.1,27,20,72,15,20,13,1.1,79,675,9,3,1,33
Víctor Díaz,"DF,MF",1.8,0,2,0,1,0,7,0,63.5,359,3,1,1,6
Famara Diedhiou,"FW,MF",0.6,3,0,12,2,2,1,0.2,48.1,22,1,0,0,4
Bamba Dieng,FW,1.4,2,0,4,0,0,0,0,78.9,14,2,0,0,5
Eric Dier,DF,1.6,0,2,0,0,0,2,0,89.2,757,1,1,1,3
Guillaume Dietsch,GK,0.8,0,0,0,0,0,9,0,57.7,410,0,0,0,0
Lucas Digne,DF,11.9,22,44,127,3,11,32,2.3,75.1,2724,9,9,17,52
Federico Dimarco,DF,8.4,21,43,73,2,19,40,2.5,77.2,2394,12,7,4,38
Stole Dimitrievski,GK,13,0,0,0,1,0,97,0,59.6,5755,0,0,0,12
Junior Dina Ebimbe,"MF,DF",6.6,27,28,36,20,15,21,1.4,77.5,1200,4,7,2,43
Eren Dinkçi,"FW,MF",10.1,31,36,40,12,24,14,1.4,60.5,825,8,8,3,54
Sinaly Diomande,DF,9,5,41,0,1,8,41,0.3,91.5,3552,4,11,12,67
Edan Diop,DF,0.5,3,2,8,0,2,1,0,74.3,131,2,1,0,5
Issa Diop,DF,7.8,9,45,0,0,4,34,0.3,90.1,3510,6,8,7,40
Sofiane Diop,FW,4.8,18,13,35,5,16,3,0.8,80.1,408,5,2,2,23
Andy Diouf,MF,7.7,29,41,31,14,23,9,0.6,81.5,941,10,7,3,53
Yehvann Diouf,GK,12,0,0,0,1,0,118,0,76.9,6425,0,0,0,22
Axel Disasi,DF,10.7,10,50,7,3,4,37,0.5,91,4541,2,10,4,60
Djené,"MF,DF",9,7,33,11,6,9,22,0.3,75.2,1471,2,13,10,60
Berat Djimsiti,DF,10.8,0,24,2,1,1,64,0.1,88.4,3440,7,23,22,68
Marko Dmitrović,GK,4,0,0,0,1,0,23,0,77,2033,0,0,1,5
Ben Doak,FW,0.2,0,0,0,0,0,0,0,100,8,0,0,0,1
Ritsu Doan,"MF,DF",7.3,18,20,46,16,9,8,1.1,66.7,691,9,9,2,33
Lewis Dobbin,MF,1.3,5,0,6,5,7,0,0,65.6,5,2,3,1,6
Dodô,DF,3,12,26,10,2,6,18,0.4,81.7,957,2,2,3,10
Danilho Doekhi,DF,8,1,31,5,2,7,35,0.3,83.4,2487,10,13,15,30
Matt Doherty,"MF,DF",2.8,1,4,14,2,0,4,0.3,73.6,350,1,5,2,14
Josh Doig,DF,6,10,8,16,4,7,16,0.3,74.3,982,6,9,1,20
Jeremy Doku,"FW,DF",6.1,67,17,87,31,18,7,1.8,77.6,484,11,4,5,28
Jeremy Doku,FW,1.2,11,5,19,9,6,2,0.6,87.8,133,2,0,0,7
Carlos Dominguez,DF,3,1,11,0,1,4,8,0,78.2,725,3,1,5,7
Mario Dominguez,FW,0.3,0,1,1,0,0,1,0,80,22,0,0,0,0
Nicolás Domínguez,MF,5.9,3,29,18,1,6,16,0.3,81.3,972,16,3,4,32
Nicolás Domínguez,MF,1.1,1,9,3,0,2,2,0.1,90.2,370,0,3,0,7
Giulio Donati,DF,0.1,0,1,2,0,0,0,0,66.7,40,0,0,0,0
Gianluigi Donnarumma,GK,12,0,0,0,1,0,58,0,90.1,3960,0,0,1,15
Patrick Dorgu,DF,5.6,13,22,25,6,11,18,0.3,81,1303,11,9,3,39
Niklas Dorsch,MF,6.8,5,22,6,1,2,25,0.1,87,1223,8,7,4,52
Gabriel Dos Santos,DF,8.3,4,30,4,0,9,34,0.1,88.1,2525,6,11,11,28
Alberto Dossena,DF,11.1,2,25,2,2,2,51,0.2,83.5,2209,17,20,18,88
Carlos Dotor,MF,3.6,1,6,7,1,3,1,0.2,78.7,326,4,6,2,23
Abdoulaye Doucouré,"FW,MF",11.5,26,33,61,14,18,11,0.8,80.1,930,13,12,8,56
Cheick Doucouré,MF,9.6,8,43,3,9,8,17,0.5,86.6,1649,17,12,19,69
Ckene Doucouré,FW,3.1,11,4,20,7,5,3,0.3,69.6,131,4,3,1,7
Désiré Doué,"MF,FW",4.8,15,38,37,14,15,17,0.7,76.2,755,6,5,3,25
Guela Doué,DF,0.5,2,3,4,0,2,4,0.2,74.5,202,0,1,1,7
Alfie Doughty,"DF,MF",8.9,20,36,42,9,7,43,1.4,62.1,2189,11,17,8,58
Douglas,MF,6.2,6,27,5,0,6,19,0.9,85,1102,15,9,11,40
Ismaël Doukouré,"MF,DF",10.6,9,49,4,11,7,39,0.3,85.3,1858,11,12,12,54
Kamory Doumbia,MF,1.6,6,10,5,1,2,6,0.2,88.2,295,6,4,1,16
Anastasios Douvikas,"FW,MF",2.2,2,3,12,2,1,1,0.1,64.5,27,2,1,1,7
Artem Dovbyk,FW,8.1,3,2,35,6,1,2,1.2,66.4,46,1,4,0,5
